Country,1,2,3,4,5
China,Messi,Lewandowski,Kanté,Jorginho,Cristiano Ronaldo
Colombia,Messi,Jorginho,Lewandowski,Benzema,Mbappé
Comoros,Benzema,Jorginho,Salah,Lewandowski,Kanté
Costa Rica,Messi,Jorginho,Donnarumma,Lewandowski,Haaland
Côte d’Ivoire,Benzema,Lewandowski,Kanté,Jorginho,Messi
Croatia,Jorginho,Lewandowski,Benzema,Donnarumma,Messi
Cuba,Messi,Benzema,Lewandowski,Cristiano Ronaldo,Jorginho
Cyprus,Jorginho,Lewandowski,Chiellini,Cristiano Ronaldo,Messi
Czechia,Jorginho,Lewandowski,De Bruyne,Messi,Bonucci
Democratic Republic of Congo,Lewandowski,Messi,Kanté,Cristiano Ronaldo,Jorginho
Denmark,Lewandowski,Jorginho,Messi,Haaland,Kjaer
Djibouti,Messi,Lewandowski,Kanté,Jorginho,Salah
Dominican Republic,Messi,Mbappé,Lewandowski,Benzema,Cristiano Ronaldo
Egypt,Salah,Benzema,Messi,Lewandowski,Kanté
El Salvador,Jorginho,Sterling,Lewandowski,De Bruyne,Lukaku
England,Jorginho,Messi,Lewandowski,Donnarumma,Salah
Eritrea,Lewandowski,Kanté,Jorginho,Cristiano Ronaldo,Sterling
Estonia,Kanté,Bonucci,Lewandowski,Messi,Cristiano Ronaldo
Ethiopia,Messi,Lewandowski,Jorginho,Cristiano Ronaldo,Benzema
Faroe Islands,Messi,Salah,Lewandowski,Benzema,Jorginho
Finland,Jorginho,Lewandowski,Kanté,Donnarumma,De Bruyne
France,Lewandowski,Messi,Benzema,Jorginho,Mbappé
Gabon,Messi,Jorginho,Benzema,Cristiano Ronaldo,Lewandowski
Gambia,Lewandowski,Salah,Messi,Benzema,Kjaer
Georgia,Lewandowski,Benzema,Cristiano Ronaldo,Messi,Jorginho
Germany,Lewandowski,Messi,Mbappé,Cristiano Ronaldo,Jorginho
Ghana,Lewandowski,Messi,Salah,Jorginho,Cristiano Ronaldo
Greece,Messi,Jorginho,Kanté,Cristiano Ronaldo,Benzema
Grenada,Messi,De Bruyne,Mbappé,Kanté,Salah
Guatemala,Jorginho,Messi,Chiellini,Martinez,Barella
Guinea,Messi,Lewandowski,Benzema,Jorginho,Cristiano Ronaldo
Guinea-Bissau,Jorginho,Lewandowski,Messi,Cristiano Ronaldo,Benzema
Haïti,Lewandowski,Messi,Donnarumma,Kanté,De Bruyne
Honduras,Messi,Lewandowski,Jorginho,Cristiano Ronaldo,Suarez
Hungary,Lewandowski,Jorginho,Chiellini,Kane,Cristiano Ronaldo
Iceland,De Bruyne,Jorginho,Messi,Lewandowski,Kanté
India,Jorginho,Messi,Lewandowski,Cristiano Ronaldo,Kjaer
Indonesia,Jorginho,Messi,Kanté,Lewandowski,Cristiano Ronaldo
Iran,Lewandowski,Messi,Kanté,Donnarumma,Bonucci
Iraq,Salah,Lewandowski,Benzema,Jorginho,Messi
Ireland,Messi,Jorginho,Lewandowski,Benzema,Cristiano Ronaldo
Israel,Lewandowski,Messi,Jorginho,Kjaer,Benzema
Italy,Jorginho,Benzema,Messi,Lewandowski,Kjaer
Jamaica,Messi,Jorginho,Lewandowski,Kanté,Benzema
Japon,Lewandowski,Jorginho,Messi,Benzema,Moreno
Jordan,Salah,Benzema,Mbappé,Cristiano Ronaldo,Messi
Kazakhstan,Messi,Jorginho,Benzema,Kanté,Haaland
Kenya,Lewandowski,Kanté,De Bruyne,Chiellini,Messi
Kyrgyzstan,Cristiano Ronaldo,Jorginho,Benzema,Bonucci,Lukaku
Latvia,Lewandowski,Messi,Donnarumma,Haaland,Jorginho
Lebanon,Messi,Lewandowski,Jorginho,Mbappé,Cristiano Ronaldo
Lesotho,Jorginho,Lewandowski,Messi,Cristiano Ronaldo,Kanté
Liberia,Messi,Jorginho,Lewandowski,Kanté,Salah
Libya,Messi,Salah,Lewandowski,De Bruyne,Mbappé
Liechtenstein,Jorginho,Sterling,Kanté,Messi,Haaland
Lithuania,Lewandowski,Messi,Jorginho,De Bruyne,Kanté
Luxembourg,Messi,Jorginho,Lewandowski,Kanté,Benzema
Macao,Cristiano Ronaldo,Lewandowski,Bruno Fernandes,De Bruyne,Messi
Madagascar,Benzema,Cristiano Ronaldo,Chiellini,De Bruyne,Lewandowski
Malawi,Messi,Cristiano Ronaldo,Lewandowski,Kanté,Jorginho
Malaysia,Jorginho,Messi,Benzema,Lewandowski,Kanté
Maldives,Messi,Lewandowski,Cristiano Ronaldo,Haaland,De Bruyne
Mali,Lewandowski,Jorginho,Kanté,Messi,Donnarumma
Malta,Messi,Jorginho,Lewandowski,Kanté,Martinez
Mauritania,Lewandowski,Jorginho,Messi,Kanté,Cristiano Ronaldo
Mauritius,Jorginho,Messi,Benzema,Lewandowski,Kanté
Mexico,Lewandowski,Messi,Jorginho,Cristiano Ronaldo,Benzema
Moldova,Lewandowski,Donnarumma,Jorginho,Kanté,Cristiano Ronaldo
Mongolia,Jorginho,Kanté,Lewandowski,Salah,Messi
Montenegro,Lewandowski,Kanté,Messi,Bonucci,Lukaku
Morocco,Jorginho,Benzema,Cristiano Ronaldo,Messi,Salah
Mozambique,Cristiano Ronaldo,Haaland,Benzema,Kane,Bruno Fernandes
Namibia,Messi,Jorginho,Lewandowski,Kanté,De Bruyne
Nepal,Jorginho,Messi,Donnarumma,Lewandowski,Dias
Netherlands,Cristiano Ronaldo,Kanté,Jorginho,De Bruyne,Lewandowski
New Caledonia,Messi,Benzema,Lewandowski,De Bruyne,Jorginho
New Zealand,Messi,Lewandowski,Jorginho,Benzema,Kanté
Nicaragua,Cristiano Ronaldo,Lewandowski,Messi,Mbappé,Jorginho
Niger,Lewandowski,Messi,Benzema,Jorginho,Mahrez
Nigeria,Lewandowski,Messi,Benzema,Cristiano Ronaldo,Salah
North Macedonia,Jorginho,De Bruyne,Messi,Haaland,Kjaer
Northern Ireland,Messi,Jorginho,Lewandowski,Cristiano Ronaldo,Haaland
Norway,Lewandowski,Messi,Kanté,Benzema,Haaland
Oman,Benzema,Salah,Jorginho,Mbappé,Messi
Pakistan,Messi,Lewandowski,Kanté,Salah,Jorginho
Palestine,Salah,Messi,Cristiano Ronaldo,Mbappé,Jorginho
Panama,Jorginho,Kanté,Lewandowski,Messi,Cristiano Ronaldo
Paraguay,Lewandowski,Messi,Cristiano Ronaldo,Mbappé,Benzema
Peru,Messi,Lewandowski,Jorginho,Benzema,Cristiano Ronaldo
Philippines,Messi,Lewandowski,Jorginho,Kanté,Donnarumma
Poland,Lewandowski,Jorginho,Messi,Cristiano Ronaldo,Kjaer
Portugal,Kanté,Lewandowski,Mbappé,Jorginho,Salah
Puerto Rico,Messi,Lewandowski,Benzema,Kanté,Mbappé
Qatar,Jorginho,Messi,Benzema,Lewandowski,Salah
Republic of Congo,Jorginho,Benzema,Lewandowski,Kanté,De Bruyne
Romania,Lewandowski,Messi,Chiellini,Lukaku,Benzema
Russia,Lewandowski,Messi,Jorginho,Cristiano Ronaldo,Kanté
Rwanda,Messi,Lewandowski,Jorginho,Kanté,Salah
Saint Kitts and Nevis,Messi,Cristiano Ronaldo,Suarez,Salah,Neymar
San Marino,Lewandowski,Jorginho,Benzema,Messi,Cristiano Ronaldo
São Tomé and Príncipe,Kanté,Lukaku,Lewandowski,Messi,Cristiano Ronaldo
Saudi Arabia,Jorginho,Messi,Kanté,Bruno Fernandes,Salah
Scotland,Jorginho,Lukaku,Bonucci,Salah,Lewandowski
Serbia,Lewandowski,Jorginho,Benzema,Messi,Salah
Seychelles,Messi,Jorginho,Lewandowski,Salah,Benzema
Sierra Leone,Messi,Lewandowski,Jorginho,Cristiano Ronaldo,Kanté
Singapore,Messi,Lewandowski,Salah,Jorginho,Cristiano Ronaldo
Slovakia,Lewandowski,Messi,Kanté,Jorginho,Benzema
Slovenia,Lewandowski,Jorginho,De Bruyne,Mbappé,Haaland
Somalia,Messi,Jorginho,Lewandowski,Kanté,Benzema
South Africa,Lewandowski,Benzema,Messi,Cristiano Ronaldo,Jorginho
South Sudan,Salah,Lewandowski,Jorginho,Haaland,Messi
Spain,Benzema,Lewandowski,Messi,Cristiano Ronaldo,De Bruyne
Sudan,Messi,Salah,Kanté,Haaland,Benzema
Suriname,Jorginho,Messi,Benzema,Kanté,Mbappé
Sweden,Lewandowski,Messi,Benzema,Jorginho,Salah
Switzerland,Jorginho,Benzema,Chiellini,Lewandowski,De Bruyne
Syria,Benzema,Cristiano Ronaldo,Messi,Haaland,Lewandowski
Tahiti,Benzema,Lewandowski,Messi,Kanté,Jorginho
Tajikistan,Messi,Lewandowski,Jorginho,Cristiano Ronaldo,Kanté
Thailand,Lewandowski,Messi,Jorginho,Benzema,Kanté
Togo,Benzema,Lewandowski,Mount,Salah,Sterling
Trinidad and Tobago,Messi,Salah,Kanté,Lewandowski,Lukaku
Tunisia,Benzema,Lewandowski,Messi,Jorginho,Kanté
Turkey,Cristiano Ronaldo,Lewandowski,Kanté,Salah,Bonucci
Turkmenistan,Messi,De Bruyne,Martinez,Lukaku,Pedri
Turks and Caicos Islands,Lewandowski,Messi,Jorginho,Benzema,Kanté
Uganda,Lewandowski,Jorginho,Messi,Haaland,Benzema
Ukraine,Lewandowski,Jorginho,Benzema,Bonucci,Chiellini
United Arab Emirates,Messi,Lewandowski,Jorginho,Salah,Benzema
United States of America,Messi,Lewandowski,Benzema,Cristiano Ronaldo,Jorginho
Uruguay,Messi,Lewandowski,Benzema,Cristiano Ronaldo,Suarez
Uzbekistan,Mbappé,Mount,Messi,Chiellini,De Bruyne
Venezuela,Messi,Lewandowski,Benzema,Jorginho,Cristiano Ronaldo
Vietnam,Messi,Lewandowski,Jorginho,Benzema,Kanté
Wales,Messi,Lewandowski,Jorginho,Cristiano Ronaldo,Salah
Yemen,Salah,Benzema,Mahrez,Cristiano Ronaldo,Mbappé
Zambia,Lewandowski,Jorginho,Salah,Messi,Benzema
Zimbabwe,Jorginho,Cristiano Ronaldo,Kanté,Messi,Lewandowski
